RANKING,CD_GEOCODM,MUNICÍPIO,ESTADO,IDHM,RENDA,LONGEVIDADE,EDUCACAO
4055,120001,ACRELÂNDIA,AC,0.604,0.584,0.808,0.466
4444,120005,ASSIS BRASIL,AC,0.588,0.578,0.77,0.456
3820,120010,BRASILÉIA,AC,0.614,0.619,0.77,0.485
4416,120013,BUJARI,AC,0.589,0.603,0.772,0.439
4742,120017,CAPIXABA,AC,0.575,0.601,0.794,0.398
2802,120020,CRUZEIRO DO SUL,AC,0.664,0.648,0.776,0.582
3055,120025,EPITACIOLÂNDIA,AC,0.653,0.654,0.771,0.553
5332,120030,FEIJÓ,AC,0.539,0.559,0.723,0.388
5559,120032,JORDÃO,AC,0.469,0.499,0.731,0.283
3587,120033,MÂNCIO LIMA,AC,0.625,0.58,0.77,0.546
5186,120034,MANOEL URBANO,AC,0.551,0.586,0.767,0.373
5529,120035,MARECHAL THAUMATURGO,AC,0.501,0.479,0.726,0.361
3653,120038,PLÁCIDO DE CASTRO,AC,0.622,0.593,0.786,0.517
4718,120080,PORTO ACRE,AC,0.576,0.593,0.771,0.418
5382,120039,PORTO WALTER,AC,0.532,0.521,0.726,0.397
1107,120040,RIO BRANCO,AC,0.727,0.729,0.798,0.661
4903,120042,RODRIGUES ALVES,AC,0.567,0.518,0.736,0.477
5473,120043,SANTA ROSA DO PURUS,AC,0.517,0.519,0.781,0.34
4081,120050,SENA MADUREIRA,AC,0.603,0.593,0.81,0.456
3291,120045,SENADOR GUIOMARD,AC,0.64,0.649,0.786,0.513
5332,120060,TARAUACÁ,AC,0.539,0.554,0.72,0.392
4167,120070,XAPURI,AC,0.599,0.621,0.773,0.448
5209,270010,ÁGUA BRANCA,AL,0.549,0.527,0.728,0.432
4884,270020,ANADIA,AL,0.568,0.546,0.756,0.444
3136,270030,ARAPIRACA,AL,0.649,0.638,0.78,0.549
5027,270040,ATALAIA,AL,0.561,0.545,0.752,0.431
5098,270050,BARRA DE SANTO ANTÔNIO,AL,0.557,0.552,0.732,0.428
3796,270060,BARRA DE SÃO MIGUEL,AL,0.615,0.638,0.767,0.475
4284,270070,BATALHA,AL,0.594,0.563,0.752,0.496
4309,270080,BELÉM,AL,0.593,0.587,0.764,0.464
5473,270090,BELO MONTE,AL,0.517,0.507,0.725,0.376
4055,270100,BOCA DA MATA,AL,0.604,0.56,0.758,0.518
5490,270110,BRANQUINHA,AL,0.513,0.534,0.699,0.362
5390,270120,CACIMBINHAS,AL,0.531,0.559,0.697,0.384
5002,270130,CAJUEIRO,AL,0.562,0.542,0.691,0.473
5066,270135,CAMPESTRE,AL,0.559,0.55,0.729,0.435
4841,270140,CAMPO ALEGRE,AL,0.57,0.531,0.742,0.47
5439,270150,CAMPO GRANDE,AL,0.524,0.502,0.739,0.387
5510,270160,CANAPI,AL,0.506,0.504,0.719,0.357
4786,270170,CAPELA,AL,0.573,0.554,0.743,0.456
5426,270180,CARNEIROS,AL,0.526,0.517,0.709,0.398
4742,270190,CHÃ PRETA,AL,0.575,0.537,0.737,0.481
5370,270200,COITÉ DO NÓIA,AL,0.533,0.52,0.73,0.398
5473,270210,COLÔNIA LEOPOLDINA,AL,0.517,0.548,0.693,0.363
4495,270220,COQUEIRO SECO,AL,0.586,0.582,0.757,0.457
3561,270230,CORURIPE,AL,0.626,0.591,0.769,0.541
5432,270235,CRAÍBAS,AL,0.525,0.517,0.687,0.408
3866,270240,DELMIRO GOUVEIA,AL,0.612,0.599,0.774,0.494
5382,270250,DOIS RIACHOS,AL,0.532,0.513,0.762,0.385
5366,270255,ESTRELA DE ALAGOAS,AL,0.534,0.515,0.72,0.41
