RANKING IDHM 2010,CD_GEOCODM,MUNICÍPIO,ESTADO,IDHM 2010,IDHM RENDA 2010,IDHM LONGEVIDADE 2010,IDHM EDUCAÇÃO 2010,MERGE,,MERGE,X,CD_GEOCODM,ESTADO,NM_MUNICIP,Info,lon,lat
4055,120001,ACRELÂNDIA,AC,"0,604","0,584","0,808","0,466",AC-ACRELÂNDIA,1,AC-ACRELÂNDIA,53,120001, AC,ACRELÂNDIA,ACRELÂNDIA,-67.0587934,-10.0765137
4444,120005,ASSIS BRASIL,AC,"0,588","0,578","0,770","0,456",AC-ASSIS BRASIL,1,AC-ASSIS BRASIL,54,120005, AC,ASSIS BRASIL,ASSIS BRASIL,-69.5587859,-10.9316252
3820,120010,BRASILÉIA,AC,"0,614","0,619","0,770","0,485",AC-BRASILÉIA,1,AC-BRASILÉIA,55,120010, AC,BRASILÉIA,BRASILÉIA,-68.7418934,-11.0128971
4416,120013,BUJARI,AC,"0,589","0,603","0,772","0,439",AC-BUJARI,1,AC-BUJARI,56,120013, AC,BUJARI,BUJARI,-67.9510322,-9.8276108
4742,120017,CAPIXABA,AC,"0,575","0,601","0,794","0,398",AC-CAPIXABA,1,AC-CAPIXABA,57,120017, AC,CAPIXABA,CAPIXABA,-67.6751172,-10.5721367
2802,120020,CRUZEIRO DO SUL,AC,"0,664","0,648","0,776","0,582",AC-CRUZEIRO DO SUL,1,AC-CRUZEIRO DO SUL,58,120020, AC,CRUZEIRO DO SUL,CRUZEIRO DO SUL,-72.6762232,-7.6279952
3055,120025,EPITACIOLÂNDIA,AC,"0,653","0,654","0,771","0,553",AC-EPITACIOLÂNDIA,1,AC-EPITACIOLÂNDIA,59,120025, AC,EPITACIOLÂNDIA,EPITACIOLÂNDIA,-68.7407282,-11.0294543
5332,120030,FEIJÓ,AC,"0,539","0,559","0,723","0,388",AC-FEIJÓ,1,AC-FEIJÓ,60,120030, AC,FEIJÓ,FEIJÓ,-70.3529458,-8.1642363
5559,120032,JORDÃO,AC,"0,469","0,499","0,731","0,283",AC-JORDÃO,1,AC-JORDÃO,61,120032, AC,JORDÃO,JORDÃO,-45.5963557,-22.7428673
3587,120033,MÂNCIO LIMA,AC,"0,625","0,580","0,770","0,546",AC-MÂNCIO LIMA,1,AC-MÂNCIO LIMA,62,120033, AC,MÂNCIO LIMA,MÂNCIO LIMA,-72.9265051,-7.593657
5186,120034,MANOEL URBANO,AC,"0,551","0,586","0,767","0,373",AC-MANOEL URBANO,1,AC-MANOEL URBANO,63,120034, AC,MANOEL URBANO,MANOEL URBANO,-69.5737912,-9.0386907
5529,120035,MARECHAL THAUMATURGO,AC,"0,501","0,479","0,726","0,361",AC-MARECHAL THAUMATURGO,1,AC-MARECHAL THAUMATURGO,64,120035, AC,MARECHAL THAUMATURGO,MARECHAL THAUMATURGO,-72.7883456,-8.9481968
3653,120038,PLÁCIDO DE CASTRO,AC,"0,622","0,593","0,786","0,517",AC-PLÁCIDO DE CASTRO,1,AC-PLÁCIDO DE CASTRO,65,120038, AC,PLÁCIDO DE CASTRO,PLÁCIDO DE CASTRO,-67.1874892,-10.3240904
4718,120080,PORTO ACRE,AC,"0,576","0,593","0,771","0,418",AC-PORTO ACRE,1,AC-PORTO ACRE,74,120080, AC,PORTO ACRE,PORTO ACRE,-67.5415585,-9.5938632
5382,120039,PORTO WALTER,AC,"0,532","0,521","0,726","0,397",AC-PORTO WALTER,1,AC-PORTO WALTER,66,120039, AC,PORTO WALTER,PORTO WALTER,-72.7424844,-8.2669708
1107,120040,RIO BRANCO,AC,"0,727","0,729","0,798","0,661",AC-RIO BRANCO,1,AC-RIO BRANCO,67,120040, AC,RIO BRANCO,RIO BRANCO,-68.4293214,-9.9753374
4903,120042,RODRIGUES ALVES,AC,"0,567","0,518","0,736","0,477",AC-RODRIGUES ALVES,1,AC-RODRIGUES ALVES,68,120042, AC,RODRIGUES ALVES,RODRIGUES ALVES,-72.6535541,-7.7364741
5473,120043,SANTA ROSA DO PURUS,AC,"0,517","0,519","0,781","0,340",AC-SANTA ROSA DO PURUS,1,AC-SANTA ROSA DO PURUS,69,120043, AC,SANTA ROSA DO PURUS,SANTA ROSA DO PURUS,-70.490786,-9.4468562
4081,120050,SENA MADUREIRA,AC,"0,603","0,593","0,810","0,456",AC-SENA MADUREIRA,1,AC-SENA MADUREIRA,71,120050, AC,SENA MADUREIRA,SENA MADUREIRA,-68.6720528,-9.0792553
3291,120045,SENADOR GUIOMARD,AC,"0,640","0,649","0,786","0,513",AC-SENADOR GUIOMARD,1,AC-SENADOR GUIOMARD,70,120045, AC,SENADOR GUIOMARD,SENADOR GUIOMARD,-67.7385254,-10.1527174
5332,120060,TARAUACÁ,AC,"0,539","0,554","0,720","0,392",AC-TARAUACÁ,1,AC-TARAUACÁ,72,120060, AC,TARAUACÁ,TARAUACÁ,-70.7652128,-8.1608977
4167,120070,XAPURI,AC,"0,599","0,621","0,773","0,448",AC-XAPURI,1,AC-XAPURI,73,120070, AC,XAPURI,XAPURI,-68.4992999,-10.651543
5209,270010,ÁGUA BRANCA,AL,"0,549","0,527","0,728","0,432",AL-ÁGUA BRANCA,1,AL-ÁGUA BRANCA,1650,270010, AL,ÁGUA BRANCA,ÁGUA BRANCA,-37.9361482,-9.2613574
4884,270020,ANADIA,AL,"0,568","0,546","0,756","0,444",AL-ANADIA,1,AL-ANADIA,1651,270020, AL,ANADIA,ANADIA,-8.4352505,40.440347
