CD_UF;NM_UF;CD_MUN;NM_MUN;CD_GEOCODM;IVS
21;Maranhão;2104081;Fernando Falcão;210408;0,78
21;Maranhão;2100550;Amapá do Maranhão;210055;0,77
15;Pará;1501006;Aveiro;150100;0,77
21;Maranhão;2105005;Humberto de Campos;210500;0,76
21;Maranhão;2105104;Icatu;210510;0,76
21;Maranhão;2110278;Santo Amaro do Maranhão;211027;0,76
13;Amazonas;1303700;Santo Antônio do Içá;130370;0,75
15;Pará;1506005;Prainha;150600;0,74
13;Amazonas;1302306;Jutaí;130230;0,74
15;Pará;1508308;Viseu;150830;0,74
21;Maranhão;2108256;Pedro do Rosário;210825;0,74
21;Maranhão;2101301;Bacuri;210130;0,73
15;Pará;1500305;Afuá;150030;0,73
21;Maranhão;2103125;Central do Maranhão;210312;0,73
13;Amazonas;1301605;Fonte Boa;130160;0,73
13;Amazonas;1300201;Atalaia do Norte;130020;0,72
21;Maranhão;2108058;Paulino Neves;210805;0,72
21;Maranhão;2110401;São Benedito do Rio Preto;211040;0,72
21;Maranhão;2105351;Itaipava do Grajaú;210535;0,72
21;Maranhão;2112704;Vargem Grande;211270;0,72
15;Pará;1502509;Chaves;150250;0,72
21;Maranhão;2103174;Centro Novo do Maranhão;210317;0,72
21;Maranhão;2109270;Presidente Sarney;210927;0,72
13;Amazonas;1303502;Pauini;130350;0,71
21;Maranhão;2112100;Timbiras;211210;0,71
21;Maranhão;2102408;Cajapió;210240;0,71
13;Amazonas;1301803;Ipixuna;130180;0,71
13;Amazonas;1304104;Tapauá;130410;0,71
13;Amazonas;1301407;Eirunepé;130140;0,71
15;Pará;1508357;Vitória do Xingu;150835;0,71
21;Maranhão;2111748;Senador Alexandre Costa;211174;0,7
21;Maranhão;2112407;Turiaçu;211240;0,7
13;Amazonas;1301951;Itamarati;130195;0,7
21;Maranhão;2105658;Junco do Maranhão;210565;0,7
15;Pará;1504505;Melgaço;150450;0,7
13;Amazonas;1303304;Novo Aripuanã;130330;0,7
15;Pará;1505908;Porto de Moz;150590;0,7
21;Maranhão;2102606;Cândido Mendes;210260;0,7
21;Maranhão;2111722;Satubinha;211172;0,7
13;Amazonas;1300631;Beruri;130063;0,7
21;Maranhão;2103406;Coelho Neto;210340;0,7
21;Maranhão;2103703;Cururupu;210370;0,7
21;Maranhão;2102374;Cachoeira Grande;210237;0,7
21;Maranhão;2112456;Turilândia;211245;0,7
14;Roraima;1400704;Uiramutã;140070;0,69
15;Pará;1503077;Garrafão do Norte;150307;0,69
13;Amazonas;1303908;São Paulo de Olivença;130390;0,69
21;Maranhão;2105963;Lagoa Grande do Maranhão;210596;0,69
21;Maranhão;2105906;Lago Verde;210590;0,69
21;Maranhão;2102150;Brejo de Areia;210215;0,69
21;Maranhão;2100154;Água Doce do Maranhão;210015;0,69
21;Maranhão;2102705;Cantanhede;210270;0,69
14;Roraima;1400407;Normandia;140040;0,69
15;Pará;1506112;Quatipuru;150611;0,68
13;Amazonas;1300607;Benjamin Constant;130060;0,68
13;Amazonas;1302801;Maraã;130280;0,68
21;Maranhão;2100907;Araioses;210090;0,68
21;Maranhão;2104651;Governador Newton Bello;210465;0,68
22;Piauí;2205565;Lagoa do Barro do Piauí;220556;0,68
