MERGE,X,CD_GEOCODM,ESTADO,NM_MUNICIP,Info,lon,lat
 RO-ALTA FLORESTA D'OESTE,1,110001, RO,ALTA FLORESTA D'OESTE,ALTA FLORESTA D'OESTE,-62.1688572,-12.607055
 RO-ARIQUEMES,2,110002, RO,ARIQUEMES,ARIQUEMES,-63.0330057,-9.9062179
 RO-CABIXI,3,110003, RO,CABIXI,CABIXI,-60.5425311,-13.494702
 RO-CACOAL,4,110004, RO,CACOAL,CACOAL,-61.4566622,-11.4346669
 RO-CEREJEIRAS,5,110005, RO,CEREJEIRAS,CEREJEIRAS,-60.8205386,-13.1891167
 RO-COLORADO DO OESTE,6,110006, RO,COLORADO DO OESTE,COLORADO DO OESTE,-60.5450076,-13.1209832
 RO-CORUMBIARA,7,110007, RO,CORUMBIARA,CORUMBIARA,-60.9460672,-12.9985011
 RO-COSTA MARQUES,8,110008, RO,COSTA MARQUES,COSTA MARQUES,-64.2266625,-12.4385619
 RO-ESPIGÃO D'OESTE,9,110009, RO,ESPIGÃO D'OESTE,ESPIGÃO D'OESTE,-61.0169967,-11.5323149
 RO-GUAJARÁ-MIRIM,10,110010, RO,GUAJARÁ-MIRIM,GUAJARÁ-MIRIM,-65.3301049,-10.789321
 RO-JARU,11,110011, RO,JARU,JARU,-62.47947,-10.4322059
 RO-JI-PARANÁ,12,110012, RO,JI-PARANÁ,JI-PARANÁ,-61.9326728,-10.8781412
 RO-MACHADINHO D'OESTE,13,110013, RO,MACHADINHO D'OESTE,MACHADINHO D'OESTE,-62.0099694,-9.4200293
 RO-NOVA BRASILÂNDIA D'OESTE,14,110014, RO,NOVA BRASILÂNDIA D'OESTE,NOVA BRASILÂNDIA D'OESTE,-62.3565156,-11.7970514
 RO-OURO PRETO DO OESTE,15,110015, RO,OURO PRETO DO OESTE,OURO PRETO DO OESTE,-62.3095833,-10.6008331
 RO-PIMENTA BUENO,16,110018, RO,PIMENTA BUENO,PIMENTA BUENO,-61.1984677,-11.6724022
 RO-PORTO VELHO,17,110020, RO,PORTO VELHO,PORTO VELHO,-63.9004303,-8.7611605
 RO-PRESIDENTE MÉDICI,18,110025, RO,PRESIDENTE MÉDICI,PRESIDENTE MÉDICI,-61.9015332,-11.1690838
 RO-RIO CRESPO,19,110026, RO,RIO CRESPO,RIO CRESPO,-62.7794229,-9.6681036
 RO-ROLIM DE MOURA,20,110028, RO,ROLIM DE MOURA,ROLIM DE MOURA,-61.7781191,-11.7256841
 RO-SANTA LUZIA D'OESTE,21,110029, RO,SANTA LUZIA D'OESTE,SANTA LUZIA D'OESTE,-61.7797504,-11.9064272
 RO-VILHENA,22,110030, RO,VILHENA,VILHENA,-60.1304566,-12.7414031
 RO-SÃO MIGUEL DO GUAPORÉ,23,110032, RO,SÃO MIGUEL DO GUAPORÉ,SÃO MIGUEL DO GUAPORÉ,-62.7323884,-11.6703396
 RO-NOVA MAMORÉ,24,110033, RO,NOVA MAMORÉ,NOVA MAMORÉ,-65.3306501,-10.4104332
 RO-ALVORADA D'OESTE,25,110034, RO,ALVORADA D'OESTE,ALVORADA D'OESTE,-62.5443612,-11.320782
 RO-ALTO ALEGRE DOS PARECIS,26,110037, RO,ALTO ALEGRE DOS PARECIS,ALTO ALEGRE DOS PARECIS,-61.8566556,-12.1327022
 RO-ALTO PARAÍSO,27,110040, RO,ALTO PARAÍSO,ALTO PARAÍSO,-47.5188629,-14.1366085
 RO-BURITIS,28,110045, RO,BURITIS,BURITIS,-46.4298437,-15.6287846
 RO-NOVO HORIZONTE DO OESTE,29,110050, RO,NOVO HORIZONTE DO OESTE,NOVO HORIZONTE DO OESTE,-61.9982631,-11.7072165
 RO-CACAULÂNDIA,30,110060, RO,CACAULÂNDIA,CACAULÂNDIA,-62.9000335,-10.3418975
 RO-CAMPO NOVO DE RONDÔNIA,31,110070, RO,CAMPO NOVO DE RONDÔNIA,CAMPO NOVO DE RONDÔNIA,-63.618905,-10.5701854
 RO-CANDEIAS DO JAMARI,32,110080, RO,CANDEIAS DO JAMARI,CANDEIAS DO JAMARI,-63.7024587,-8.7936902
 RO-CASTANHEIRAS,33,110090, RO,CASTANHEIRAS,CASTANHEIRAS,-46.850391,-23.47106
 RO-CHUPINGUAIA,34,110092, RO,CHUPINGUAIA,CHUPINGUAIA,-60.9048985,-12.5583251
 RO-CUJUBIM,35,110094, RO,CUJUBIM,CUJUBIM,-62.5869863,-9.3545074
 RO-GOVERNADOR JORGE TEIXEIRA,36,110100, RO,GOVERNADOR JORGE TEIXEIRA,GOVERNADOR JORGE TEIXEIRA,-62.7332643,-10.6121593
 RO-ITAPUÃ DO OESTE,37,110110, RO,ITAPUÃ DO OESTE,ITAPUÃ DO OESTE,-63.1759251,-9.2055082
 RO-MINISTRO ANDREAZZA,38,110120, RO,MINISTRO ANDREAZZA,MINISTRO ANDREAZZA,-61.5171133,-11.1976936
 RO-MIRANTE DA SERRA,39,110130, RO,MIRANTE DA SERRA,MIRANTE DA SERRA,-62.6714775,-11.0289123
 RO-MONTE NEGRO,40,110140, RO,MONTE NEGRO,MONTE NEGRO,19.37439,42.708678
 RO-NOVA UNIÃO,41,110143, RO,NOVA UNIÃO,NOVA UNIÃO,-79.3973109,43.7001527
 RO-PARECIS,42,110145, RO,PARECIS,PARECIS,-61.6042538,-12.1816037
 RO-PIMENTEIRAS DO OESTE,43,110146, RO,PIMENTEIRAS DO OESTE,PIMENTEIRAS DO OESTE,-61.0438126,-13.4801607
 RO-PRIMAVERA DE RONDÔNIA,44,110147, RO,PRIMAVERA DE RONDÔNIA,PRIMAVERA DE RONDÔNIA,-61.3192899,-11.8302278
 RO-SÃO FELIPE D'OESTE,45,110148, RO,SÃO FELIPE D'OESTE,SÃO FELIPE D'OESTE,-61.5136849,-11.9063717
 RO-SÃO FRANCISCO DO GUAPORÉ,46,110149, RO,SÃO FRANCISCO DO GUAPORÉ,SÃO FRANCISCO DO GUAPORÉ,-63.5690171,-12.0602085
 RO-SERINGUEIRAS,47,110150, RO,SERINGUEIRAS,SERINGUEIRAS,-63.0314125,-11.7655003
 RO-TEIXEIRÓPOLIS,48,110155, RO,TEIXEIRÓPOLIS,TEIXEIRÓPOLIS,-62.2574456,-10.9317164
 RO-THEOBROMA,49,110160, RO,THEOBROMA,THEOBROMA,-74.0071275,40.6575921
 RO-URUPÁ,50,110170, RO,URUPÁ,URUPÁ,-62.3635277,-11.1242915
 RO-VALE DO ANARI,51,110175, RO,VALE DO ANARI,VALE DO ANARI,-61.9345555,-9.8364461
 RO-VALE DO PARAÍSO,52,110180, RO,VALE DO PARAÍSO,VALE DO PARAÍSO,-62.1298603,-10.4273249
 AC-ACRELÂNDIA,53,120001, AC,ACRELÂNDIA,ACRELÂNDIA,-67.0587934,-10.0765137
 AC-ASSIS BRASIL,54,120005, AC,ASSIS BRASIL,ASSIS BRASIL,-69.5587859,-10.9316252
 AC-BRASILÉIA,55,120010, AC,BRASILÉIA,BRASILÉIA,-68.7418934,-11.0128971
 AC-BUJARI,56,120013, AC,BUJARI,BUJARI,-67.9510322,-9.8276108
 AC-CAPIXABA,57,120017, AC,CAPIXABA,CAPIXABA,-67.6751172,-10.5721367
 AC-CRUZEIRO DO SUL,58,120020, AC,CRUZEIRO DO SUL,CRUZEIRO DO SUL,-72.6762232,-7.6279952
 AC-EPITACIOLÂNDIA,59,120025, AC,EPITACIOLÂNDIA,EPITACIOLÂNDIA,-68.7407282,-11.0294543
 AC-FEIJÓ,60,120030, AC,FEIJÓ,FEIJÓ,-70.3529458,-8.1642363
 AC-JORDÃO,61,120032, AC,JORDÃO,JORDÃO,-45.5963557,-22.7428673
 AC-MÂNCIO LIMA,62,120033, AC,MÂNCIO LIMA,MÂNCIO LIMA,-72.9265051,-7.593657
 AC-MANOEL URBANO,63,120034, AC,MANOEL URBANO,MANOEL URBANO,-69.5737912,-9.0386907
 AC-MARECHAL THAUMATURGO,64,120035, AC,MARECHAL THAUMATURGO,MARECHAL THAUMATURGO,-72.7883456,-8.9481968
 AC-PLÁCIDO DE CASTRO,65,120038, AC,PLÁCIDO DE CASTRO,PLÁCIDO DE CASTRO,-67.1874892,-10.3240904
 AC-PORTO WALTER,66,120039, AC,PORTO WALTER,PORTO WALTER,-72.7424844,-8.2669708
 AC-RIO BRANCO,67,120040, AC,RIO BRANCO,RIO BRANCO,-68.4293214,-9.9753374
 AC-RODRIGUES ALVES,68,120042, AC,RODRIGUES ALVES,RODRIGUES ALVES,-72.6535541,-7.7364741
 AC-SANTA ROSA DO PURUS,69,120043, AC,SANTA ROSA DO PURUS,SANTA ROSA DO PURUS,-70.490786,-9.4468562
 AC-SENADOR GUIOMARD,70,120045, AC,SENADOR GUIOMARD,SENADOR GUIOMARD,-67.7385254,-10.1527174
 AC-SENA MADUREIRA,71,120050, AC,SENA MADUREIRA,SENA MADUREIRA,-68.6720528,-9.0792553
 AC-TARAUACÁ,72,120060, AC,TARAUACÁ,TARAUACÁ,-70.7652128,-8.1608977
 AC-XAPURI,73,120070, AC,XAPURI,XAPURI,-68.4992999,-10.651543
 AC-PORTO ACRE,74,120080, AC,PORTO ACRE,PORTO ACRE,-67.5415585,-9.5938632
 AM-ALVARÃES,75,130002, AM,ALVARÃES,ALVARÃES,-64.8162083,-3.2157685
 AM-AMATURÁ,76,130006, AM,AMATURÁ,AMATURÁ,-68.1994227,-3.3657389
 AM-ANAMÃ,77,130008, AM,ANAMÃ,ANAMÃ,-61.7941232,-3.5155735
 AM-ANORI,78,130010, AM,ANORI,ANORI,-75.147287,7.073562
 AM-APUÍ,79,130014, AM,APUÍ,APUÍ,-59.8918669,-7.1996142
 AM-ATALAIA DO NORTE,80,130020, AM,ATALAIA DO NORTE,ATALAIA DO NORTE,-70.1924957,-4.3655403
 AM-AUTAZES,81,130030, AM,AUTAZES,AUTAZES,-59.1288534,-3.5834304
 AM-BARCELOS,82,130040, AM,BARCELOS,BARCELOS,-8.6190525,41.5320504
 AM-BARREIRINHA,83,130050, AM,BARREIRINHA,BARREIRINHA,-57.1915504,-3.0793652
 AM-BENJAMIN CONSTANT,84,130060, AM,BENJAMIN CONSTANT,BENJAMIN CONSTANT,-73.5096246,45.5177404
 AM-BERURI,85,130063, AM,BERURI,BERURI,-61.37411,-3.8983524
 AM-BOA VISTA DO RAMOS,86,130068, AM,BOA VISTA DO RAMOS,BOA VISTA DO RAMOS,-57.5857691,-2.9715711
 AM-BOCA DO ACRE,87,130070, AM,BOCA DO ACRE,BOCA DO ACRE,-67.3994582,-8.7488324
 AM-BORBA,88,130080, AM,BORBA,BORBA,-7.458405,38.8068177
 AM-CAAPIRANGA,89,130083, AM,CAAPIRANGA,CAAPIRANGA,-61.2130841,-3.3265913
 AM-CANUTAMA,90,130090, AM,CANUTAMA,CANUTAMA,-63.9586111,-7.3175297
 AM-CARAUARI,91,130100, AM,CARAUARI,CARAUARI,-66.9045726,-4.881702
 AM-CAREIRO,92,130110, AM,CAREIRO,CAREIRO,-60.3612359,-3.8194468
 AM-CAREIRO DA VÁRZEA,93,130115, AM,CAREIRO DA VÁRZEA,CAREIRO DA VÁRZEA,-59.8262169,-3.1973653
 AM-COARI,94,130120, AM,COARI,COARI,-63.1483401,-4.0912758
 AM-CODAJÁS,95,130130, AM,CODAJÁS,CODAJÁS,-62.0610225,-3.8400079
 AM-EIRUNEPÉ,96,130140, AM,EIRUNEPÉ,EIRUNEPÉ,-69.8674865,-6.6618796
 AM-ENVIRA,97,130150, AM,ENVIRA,ENVIRA,-70.0228018,-7.4360807
 AM-FONTE BOA,98,130160, AM,FONTE BOA,FONTE BOA,-66.095866,-2.515248
 AM-GUAJARÁ,99,130165, AM,GUAJARÁ,GUAJARÁ,-72.8042797,-7.1919754
 AM-HUMAITÁ,100,130170, AM,HUMAITÁ,HUMAITÁ,-58.5058262,-27.0668636
 AM-IPIXUNA,101,130180, AM,IPIXUNA,IPIXUNA,-71.6924614,-7.0495648
 AM-IRANDUBA,102,130185, AM,IRANDUBA,IRANDUBA,-60.1908926,-3.2756589
 AM-ITACOATIARA,103,130190, AM,ITACOATIARA,ITACOATIARA,-43.0316339,-22.972109
 AM-ITAMARATI,104,130195, AM,ITAMARATI,ITAMARATI,-67.952363,-6.7390668
 AM-ITAPIRANGA,105,130200, AM,ITAPIRANGA,ITAPIRANGA,-53.7108335,-27.1698985
 AM-JAPURÁ,106,130210, AM,JAPURÁ,JAPURÁ,-68.5247149,-1.9962324
 AM-JURUÁ,107,130220, AM,JURUÁ,JURUÁ,-66.0723291,-3.4847481
 AM-JUTAÍ,108,130230, AM,JUTAÍ,JUTAÍ,-68.5247149,-4.4008685
 AM-LÁBREA,109,130240, AM,LÁBREA,LÁBREA,-65.475736,-8.6977958
 AM-MANACAPURU,110,130250, AM,MANACAPURU,MANACAPURU,-60.6320881,-3.2897455
 AM-MANAQUIRI,111,130255, AM,MANAQUIRI,MANAQUIRI,-60.4576779,-3.4359923
 AM-MANAUS,112,130260, AM,MANAUS,MANAUS,-60.0217314,-3.1190275
 AM-MANICORÉ,113,130270, AM,MANICORÉ,MANICORÉ,-60.9540073,-6.5112455
 AM-MARAÃ,114,130280, AM,MARAÃ,MARAÃ,-65.5913464,-1.8508396
 AM-MAUÉS,115,130290, AM,MAUÉS,MAUÉS,-57.7169581,-3.3854447
 AM-NHAMUNDÁ,116,130300, AM,NHAMUNDÁ,NHAMUNDÁ,-57.1876349,-2.2268548
 AM-NOVA OLINDA DO NORTE,117,130310, AM,NOVA OLINDA DO NORTE,NOVA OLINDA DO NORTE,-59.0918517,-3.8924201
 AM-NOVO AIRÃO,118,130320, AM,NOVO AIRÃO,NOVO AIRÃO,-60.9423918,-2.6278686
 AM-NOVO ARIPUANÃ,119,130330, AM,NOVO ARIPUANÃ,NOVO ARIPUANÃ,-60.0259466,-6.3019793
 AM-PARINTINS,120,130340, AM,PARINTINS,PARINTINS,-56.7319696,-2.633616
 AM-PAUINI,121,130350, AM,PAUINI,PAUINI,-67.0005795,-7.712536
 AM-PRESIDENTE FIGUEIREDO,122,130353, AM,PRESIDENTE FIGUEIREDO,PRESIDENTE FIGUEIREDO,-60.0238349,-2.0533403
 AM-RIO PRETO DA EVA,123,130356, AM,RIO PRETO DA EVA,RIO PRETO DA EVA,-59.6993705,-2.6981683
 AM-SANTA ISABEL DO RIO NEGRO,124,130360, AM,SANTA ISABEL DO RIO NEGRO,SANTA ISABEL DO RIO NEGRO,-65.475736,-0.2725526
 AM-SANTO ANTÔNIO DO IÇÁ,125,130370, AM,SANTO ANTÔNIO DO IÇÁ,SANTO ANTÔNIO DO IÇÁ,-67.946675,-3.102811
 AM-SÃO GABRIEL DA CACHOEIRA,126,130380, AM,SÃO GABRIEL DA CACHOEIRA,SÃO GABRIEL DA CACHOEIRA,-67.0883053,-0.1155659
 AM-SÃO PAULO DE OLIVENÇA,127,130390, AM,SÃO PAULO DE OLIVENÇA,SÃO PAULO DE OLIVENÇA,-69.097023,-3.6499007
 AM-SÃO SEBASTIÃO DO UATUMÃ,128,130395, AM,SÃO SEBASTIÃO DO UATUMÃ,SÃO SEBASTIÃO DO UATUMÃ,-57.8732879,-2.5616153
 AM-SILVES,129,130400, AM,SILVES,SILVES,-8.4412051,37.1889976
 AM-TABATINGA,130,130406, AM,TABATINGA,TABATINGA,-69.9367014,-4.2289308
 AM-TAPAUÁ,131,130410, AM,TAPAUÁ,TAPAUÁ,-63.1890514,-5.625068
 AM-TEFÉ,132,130420, AM,TEFÉ,TEFÉ,-65.6658568,-4.4606478
 AM-TONANTINS,133,130423, AM,TONANTINS,TONANTINS,-67.6662231,-2.7915832
 AM-UARINI,134,130426, AM,UARINI,UARINI,-65.3807101,-3.1828365
 AM-URUCARÁ,135,130430, AM,URUCARÁ,URUCARÁ,-59.2879977,-0.910165
 AM-URUCURITUBA,136,130440, AM,URUCURITUBA,URUCURITUBA,-58.1551349,-3.1286852
 RR-AMAJARI,137,140002, RR,AMAJARI,AMAJARI,-61.419278,3.6542907
 RR-ALTO ALEGRE,138,140005, RR,ALTO ALEGRE,ALTO ALEGRE,-50.1664925,-21.5826153
 RR-BOA VISTA,139,140010, RR,BOA VISTA,BOA VISTA,-22.8078335,16.0950108
 RR-BONFIM,140,140015, RR,BONFIM,BONFIM,-38.5080816,-12.9237266
 RR-CANTÁ,141,140017, RR,CANTÁ,CANTÁ,-60.4892292,2.210474
 RR-CARACARAÍ,142,140020, RR,CARACARAÍ,CARACARAÍ,-61.1353892,1.8132347
 RR-CAROEBE,143,140023, RR,CAROEBE,CAROEBE,-59.6952782,0.8805553
 RR-IRACEMA,144,140028, RR,IRACEMA,IRACEMA,-38.3053725,-5.8135219
 RR-MUCAJAÍ,145,140030, RR,MUCAJAÍ,MUCAJAÍ,-60.9186693,2.4433359
 RR-NORMANDIA,146,140040, RR,NORMANDIA,NORMANDIA,0.1712529,48.8798704
 RR-PACARAIMA,147,140045, RR,PACARAIMA,PACARAIMA,-61.1469405,4.4785845
 RR-RORAINÓPOLIS,148,140047, RR,RORAINÓPOLIS,RORAINÓPOLIS,-60.9540073,0.2619011
 RR-SÃO JOÃO DA BALIZA,149,140050, RR,SÃO JOÃO DA BALIZA,SÃO JOÃO DA BALIZA,-59.9334764,0.5861763
 RR-SÃO LUIZ,150,140060, RR,SÃO LUIZ,SÃO LUIZ,-44.2829046,-2.5391099
 RR-UIRAMUTÃ,151,140070, RR,UIRAMUTÃ,UIRAMUTÃ,-60.1624324,4.5950945
 PA-ABAETETUBA,152,150010, PA,ABAETETUBA,ABAETETUBA,-48.8797998,-1.7253096
 PA-ABEL FIGUEIREDO,153,150013, PA,ABEL FIGUEIREDO,ABEL FIGUEIREDO,-48.396098,-4.9532914
 PA-ACARÁ,154,150020, PA,ACARÁ,ACARÁ,-48.1989348,-1.9541955
 PA-AFUÁ,155,150030, PA,AFUÁ,AFUÁ,-50.3903784,-0.1572831
 PA-ÁGUA AZUL DO NORTE,156,150034, PA,ÁGUA AZUL DO NORTE,ÁGUA AZUL DO NORTE,-50.4863151,-6.8033725
 PA-ALENQUER,157,150040, PA,ALENQUER,ALENQUER,-9.0063654,39.0574004
