"","CD_GEOCODM","NM_MUNICIP"
"1","110001","ALTA FLORESTA D'OESTE"
"2","110002","ARIQUEMES"
"3","110003","CABIXI"
"4","110004","CACOAL"
"5","110005","CEREJEIRAS"
"6","110006","COLORADO DO OESTE"
"7","110007","CORUMBIARA"
"8","110008","COSTA MARQUES"
"9","110009","ESPIGÃO D'OESTE"
"10","110010","GUAJARÁ-MIRIM"
"11","110011","JARU"
"12","110012","JI-PARANÁ"
"13","110013","MACHADINHO D'OESTE"
"14","110014","NOVA BRASILÂNDIA D'OESTE"
"15","110015","OURO PRETO DO OESTE"
"16","110018","PIMENTA BUENO"
"17","110020","PORTO VELHO"
"18","110025","PRESIDENTE MÉDICI"
"19","110026","RIO CRESPO"
"20","110028","ROLIM DE MOURA"
"21","110029","SANTA LUZIA D'OESTE"
"22","110030","VILHENA"
"23","110032","SÃO MIGUEL DO GUAPORÉ"
"24","110033","NOVA MAMORÉ"
"25","110034","ALVORADA D'OESTE"
"26","110037","ALTO ALEGRE DOS PARECIS"
"27","110040","ALTO PARAÍSO"
"28","110045","BURITIS"
"29","110050","NOVO HORIZONTE DO OESTE"
"30","110060","CACAULÂNDIA"
"31","110070","CAMPO NOVO DE RONDÔNIA"
"32","110080","CANDEIAS DO JAMARI"
"33","110090","CASTANHEIRAS"
"34","110092","CHUPINGUAIA"
"35","110094","CUJUBIM"
"36","110100","GOVERNADOR JORGE TEIXEIRA"
"37","110110","ITAPUÃ DO OESTE"
"38","110120","MINISTRO ANDREAZZA"
"39","110130","MIRANTE DA SERRA"
"40","110140","MONTE NEGRO"
"41","110143","NOVA UNIÃO"
"42","110145","PARECIS"
"43","110146","PIMENTEIRAS DO OESTE"
"44","110147","PRIMAVERA DE RONDÔNIA"
"45","110148","SÃO FELIPE D'OESTE"
"46","110149","SÃO FRANCISCO DO GUAPORÉ"
"47","110150","SERINGUEIRAS"
"48","110155","TEIXEIRÓPOLIS"
"49","110160","THEOBROMA"
"50","110170","URUPÁ"
"51","110175","VALE DO ANARI"
"52","110180","VALE DO PARAÍSO"
"53","120001","ACRELÂNDIA"
"54","120005","ASSIS BRASIL"
"55","120010","BRASILÉIA"
"56","120013","BUJARI"
"57","120017","CAPIXABA"
"58","120020","CRUZEIRO DO SUL"
"59","120025","EPITACIOLÂNDIA"
"60","120030","FEIJÓ"
"61","120032","JORDÃO"
"62","120033","MÂNCIO LIMA"
"63","120034","MANOEL URBANO"
"64","120035","MARECHAL THAUMATURGO"
"65","120038","PLÁCIDO DE CASTRO"
"66","120039","PORTO WALTER"
"67","120040","RIO BRANCO"
"68","120042","RODRIGUES ALVES"
"69","120043","SANTA ROSA DO PURUS"
"70","120045","SENADOR GUIOMARD"
"71","120050","SENA MADUREIRA"
"72","120060","TARAUACÁ"
"73","120070","XAPURI"
"74","120080","PORTO ACRE"
"75","130002","ALVARÃES"
"76","130006","AMATURÁ"
"77","130008","ANAMÃ"
"78","130010","ANORI"
"79","130014","APUÍ"
"80","130020","ATALAIA DO NORTE"
"81","130030","AUTAZES"
"82","130040","BARCELOS"
"83","130050","BARREIRINHA"
"84","130060","BENJAMIN CONSTANT"
"85","130063","BERURI"
"86","130068","BOA VISTA DO RAMOS"
"87","130070","BOCA DO ACRE"
"88","130080","BORBA"
"89","130083","CAAPIRANGA"
"90","130090","CANUTAMA"
"91","130100","CARAUARI"
"92","130110","CAREIRO"
"93","130115","CAREIRO DA VÁRZEA"
"94","130120","COARI"
"95","130130","CODAJÁS"
"96","130140","EIRUNEPÉ"
"97","130150","ENVIRA"
"98","130160","FONTE BOA"
"99","130165","GUAJARÁ"
"100","130170","HUMAITÁ"
"101","130180","IPIXUNA"
"102","130185","IRANDUBA"
"103","130190","ITACOATIARA"
"104","130195","ITAMARATI"
"105","130200","ITAPIRANGA"
"106","130210","JAPURÁ"
"107","130220","JURUÁ"
"108","130230","JUTAÍ"
"109","130240","LÁBREA"
"110","130250","MANACAPURU"
