"","X","CD_GEOCODM","NM_MUNICIP","Info","lon","lat"
"1",1,110001,"ALTA FLORESTA D'OESTE","ALTA FLORESTA D'OESTE",-62.1688572,-12.607055
"2",2,110002,"ARIQUEMES","ARIQUEMES",-63.0330057,-9.9062179
"3",3,110003,"CABIXI","CABIXI",-60.5425311,-13.494702
"4",4,110004,"CACOAL","CACOAL",-61.4566622,-11.4346669
"5",5,110005,"CEREJEIRAS","CEREJEIRAS",-60.8205386,-13.1891167
"6",6,110006,"COLORADO DO OESTE","COLORADO DO OESTE",-60.5450076,-13.1209832
"7",7,110007,"CORUMBIARA","CORUMBIARA",-60.9460672,-12.9985011
"8",8,110008,"COSTA MARQUES","COSTA MARQUES",-64.2266625,-12.4385619
"9",9,110009,"ESPIGÃO D'OESTE","ESPIGÃO D'OESTE",-61.0169967,-11.5323149
"10",10,110010,"GUAJARÁ-MIRIM","GUAJARÁ-MIRIM",-65.3301049,-10.789321
"11",11,110011,"JARU","JARU",-62.47947,-10.4322059
"12",12,110012,"JI-PARANÁ","JI-PARANÁ",-61.9326728,-10.8781412
"13",13,110013,"MACHADINHO D'OESTE","MACHADINHO D'OESTE",-62.0099694,-9.4200293
"14",14,110014,"NOVA BRASILÂNDIA D'OESTE","NOVA BRASILÂNDIA D'OESTE",-62.3565156,-11.7970514
"15",15,110015,"OURO PRETO DO OESTE","OURO PRETO DO OESTE",-62.3095833,-10.6008331
"16",16,110018,"PIMENTA BUENO","PIMENTA BUENO",-61.1984677,-11.6724022
"17",17,110020,"PORTO VELHO","PORTO VELHO",-63.9004303,-8.7611605
"18",18,110025,"PRESIDENTE MÉDICI","PRESIDENTE MÉDICI",-61.9015332,-11.1690838
"19",19,110026,"RIO CRESPO","RIO CRESPO",-62.7794229,-9.6681036
"20",20,110028,"ROLIM DE MOURA","ROLIM DE MOURA",-61.7781191,-11.7256841
"21",21,110029,"SANTA LUZIA D'OESTE","SANTA LUZIA D'OESTE",-61.7797504,-11.9064272
"22",22,110030,"VILHENA","VILHENA",-60.1304566,-12.7414031
"23",23,110032,"SÃO MIGUEL DO GUAPORÉ","SÃO MIGUEL DO GUAPORÉ",-62.7323884,-11.6703396
"24",24,110033,"NOVA MAMORÉ","NOVA MAMORÉ",-65.3306501,-10.4104332
"25",25,110034,"ALVORADA D'OESTE","ALVORADA D'OESTE",-62.5443612,-11.320782
"26",26,110037,"ALTO ALEGRE DOS PARECIS","ALTO ALEGRE DOS PARECIS",-61.8566556,-12.1327022
"27",27,110040,"ALTO PARAÍSO","ALTO PARAÍSO",-47.5188629,-14.1366085
"28",28,110045,"BURITIS","BURITIS",-46.4298437,-15.6287846
"29",29,110050,"NOVO HORIZONTE DO OESTE","NOVO HORIZONTE DO OESTE",-61.9982631,-11.7072165
"30",30,110060,"CACAULÂNDIA","CACAULÂNDIA",-62.9000335,-10.3418975
"31",31,110070,"CAMPO NOVO DE RONDÔNIA","CAMPO NOVO DE RONDÔNIA",-63.618905,-10.5701854
"32",32,110080,"CANDEIAS DO JAMARI","CANDEIAS DO JAMARI",-63.7024587,-8.7936902
"33",33,110090,"CASTANHEIRAS","CASTANHEIRAS",-46.850391,-23.47106
"34",34,110092,"CHUPINGUAIA","CHUPINGUAIA",-60.9048985,-12.5583251
"35",35,110094,"CUJUBIM","CUJUBIM",-62.5869863,-9.3545074
"36",36,110100,"GOVERNADOR JORGE TEIXEIRA","GOVERNADOR JORGE TEIXEIRA",-62.7332643,-10.6121593
"37",37,110110,"ITAPUÃ DO OESTE","ITAPUÃ DO OESTE",-63.1759251,-9.2055082
"38",38,110120,"MINISTRO ANDREAZZA","MINISTRO ANDREAZZA",-61.5171133,-11.1976936
"39",39,110130,"MIRANTE DA SERRA","MIRANTE DA SERRA",-62.6714775,-11.0289123
"40",40,110140,"MONTE NEGRO","MONTE NEGRO",19.37439,42.708678
"41",41,110143,"NOVA UNIÃO","NOVA UNIÃO",-79.3973109,43.7001527
"42",42,110145,"PARECIS","PARECIS",-61.6042538,-12.1816037
"43",43,110146,"PIMENTEIRAS DO OESTE","PIMENTEIRAS DO OESTE",-61.0438126,-13.4801607
"44",44,110147,"PRIMAVERA DE RONDÔNIA","PRIMAVERA DE RONDÔNIA",-61.3192899,-11.8302278
"45",45,110148,"SÃO FELIPE D'OESTE","SÃO FELIPE D'OESTE",-61.5136849,-11.9063717
"46",46,110149,"SÃO FRANCISCO DO GUAPORÉ","SÃO FRANCISCO DO GUAPORÉ",-63.5690171,-12.0602085
"47",47,110150,"SERINGUEIRAS","SERINGUEIRAS",-63.0314125,-11.7655003
"48",48,110155,"TEIXEIRÓPOLIS","TEIXEIRÓPOLIS",-62.2574456,-10.9317164
"49",49,110160,"THEOBROMA","THEOBROMA",-74.0071275,40.6575921
"50",50,110170,"URUPÁ","URUPÁ",-62.3635277,-11.1242915
"51",51,110175,"VALE DO ANARI","VALE DO ANARI",-61.9345555,-9.8364461
"52",52,110180,"VALE DO PARAÍSO","VALE DO PARAÍSO",-62.1298603,-10.4273249
"53",53,120001,"ACRELÂNDIA","ACRELÂNDIA",-67.0587934,-10.0765137
"54",54,120005,"ASSIS BRASIL","ASSIS BRASIL",-69.5587859,-10.9316252
"55",55,120010,"BRASILÉIA","BRASILÉIA",-68.7418934,-11.0128971
"56",56,120013,"BUJARI","BUJARI",-67.9510322,-9.8276108
"57",57,120017,"CAPIXABA","CAPIXABA",-67.6751172,-10.5721367
"58",58,120020,"CRUZEIRO DO SUL","CRUZEIRO DO SUL",-72.6762232,-7.6279952
"59",59,120025,"EPITACIOLÂNDIA","EPITACIOLÂNDIA",-68.7407282,-11.0294543
"60",60,120030,"FEIJÓ","FEIJÓ",-70.3529458,-8.1642363
"61",61,120032,"JORDÃO","JORDÃO",-45.5963557,-22.7428673
"62",62,120033,"MÂNCIO LIMA","MÂNCIO LIMA",-72.9265051,-7.593657
"63",63,120034,"MANOEL URBANO","MANOEL URBANO",-69.5737912,-9.0386907
"64",64,120035,"MARECHAL THAUMATURGO","MARECHAL THAUMATURGO",-72.7883456,-8.9481968
"65",65,120038,"PLÁCIDO DE CASTRO","PLÁCIDO DE CASTRO",-67.1874892,-10.3240904
"66",66,120039,"PORTO WALTER","PORTO WALTER",-72.7424844,-8.2669708
"67",67,120040,"RIO BRANCO","RIO BRANCO",-68.4293214,-9.9753374
"68",68,120042,"RODRIGUES ALVES","RODRIGUES ALVES",-72.6535541,-7.7364741
"69",69,120043,"SANTA ROSA DO PURUS","SANTA ROSA DO PURUS",-70.490786,-9.4468562
"70",70,120045,"SENADOR GUIOMARD","SENADOR GUIOMARD",-67.7385254,-10.1527174
"71",71,120050,"SENA MADUREIRA","SENA MADUREIRA",-68.6720528,-9.0792553
"72",72,120060,"TARAUACÁ","TARAUACÁ",-70.7652128,-8.1608977
"73",73,120070,"XAPURI","XAPURI",-68.4992999,-10.651543
"74",74,120080,"PORTO ACRE","PORTO ACRE",-67.5415585,-9.5938632
"75",75,130002,"ALVARÃES","ALVARÃES",-64.8162083,-3.2157685
"76",76,130006,"AMATURÁ","AMATURÁ",-68.1994227,-3.3657389
"77",77,130008,"ANAMÃ","ANAMÃ",-61.7941232,-3.5155735
"78",78,130010,"ANORI","ANORI",-75.147287,7.073562
"79",79,130014,"APUÍ","APUÍ",-59.8918669,-7.1996142
"80",80,130020,"ATALAIA DO NORTE","ATALAIA DO NORTE",-70.1924957,-4.3655403
"81",81,130030,"AUTAZES","AUTAZES",-59.1288534,-3.5834304
"82",82,130040,"BARCELOS","BARCELOS",-8.6190525,41.5320504
"83",83,130050,"BARREIRINHA","BARREIRINHA",-57.1915504,-3.0793652
"84",84,130060,"BENJAMIN CONSTANT","BENJAMIN CONSTANT",-73.5096246,45.5177404
"85",85,130063,"BERURI","BERURI",-61.37411,-3.8983524
"86",86,130068,"BOA VISTA DO RAMOS","BOA VISTA DO RAMOS",-57.5857691,-2.9715711
"87",87,130070,"BOCA DO ACRE","BOCA DO ACRE",-67.3994582,-8.7488324
"88",88,130080,"BORBA","BORBA",-7.458405,38.8068177
"89",89,130083,"CAAPIRANGA","CAAPIRANGA",-61.2130841,-3.3265913
