DATA;VALE5;GOLL4;AMBV4;ITUB4;BBDC4;BVMF3;RAPT4;MYPK3;GOAU4;LLXL3;CSAN3;DOLAR
03/08/2009; 28.27 ; 14.02 ; 23.06 ; 29.38 ; 21.99 ; 10.55 ; 7.87 ; 9.92 ; 25.93 ; 5.24 ; 16.54 ; 1.84
04/08/2009; 28.27 ; 14.27 ; 23.05 ; 30.24 ; 22.47 ; 10.73 ; 7.81 ; 9.59 ; 25.93 ; 5.08 ; 17.19 ; 1.83
05/08/2009; 28.33 ; 14.17 ; 23.07 ; 30.55 ; 22.69 ; 11.02 ; 7.59 ; 9.48 ; 25.80 ; 5.12 ; 18.38 ; 1.82
06/08/2009; 27.98 ; 14.22 ; 22.89 ; 29.30 ; 22.02 ; 11.28 ; 7.49 ; 9.52 ; 25.24 ; 5.08 ; 18.75 ; 1.83
07/08/2009; 28.26 ; 15.66 ; 23.23 ; 29.08 ; 22.25 ; 11.41 ; 7.43 ; 9.31 ; 26.28 ; 5.16 ; 18.52 ; 1.82
10/08/2009; 28.29 ; 15.81 ; 23.21 ; 28.72 ; 22.01 ; 11.17 ; 7.27 ; 9.21 ; 26.94 ; 5.04 ; 18.53 ; 1.84
11/08/2009; 27.67 ; 15.76 ; 23.74 ; 28.28 ; 21.85 ; 10.93 ; 7.06 ; 8.78 ; 26.90 ; 4.93 ; 17.91 ; 1.85
12/08/2009; 27.91 ; 17.74 ; 23.57 ; 27.60 ; 21.23 ; 10.62 ; 7.29 ; 8.55 ; 25.90 ; 4.69 ; 17.21 ; 1.84
13/08/2009; 28.62 ; 18.57 ; 23.07 ; 28.58 ; 21.57 ; 10.67 ; 7.33 ; 9.25 ; 25.61 ; 4.84 ; 18.44 ; 1.83
14/08/2009; 28.87 ; 18.24 ; 23.40 ; 28.96 ; 21.85 ; 10.90 ; 7.43 ; 9.26 ; 25.71 ; 4.85 ; 18.45 ; 1.84
17/08/2009; 27.66 ; 18.28 ; 23.74 ; 29.34 ; 22.21 ; 11.03 ; 7.87 ; 9.11 ; 26.23 ; 4.79 ; 18.21 ; 1.87
18/08/2009; 27.55 ; 19.84 ; 24.08 ; 29.13 ; 22.25 ; 11.09 ; 7.94 ; 9.02 ; 26.55 ; 4.83 ; 18.03 ; 1.86
19/08/2009; 27.50 ; 20.32 ; 23.94 ; 29.39 ; 22.15 ; 10.62 ; 7.63 ; 9.13 ; 26.78 ; 4.80 ; 18.64 ; 1.84
