ID,AREA,GEOCODIGO,NOME,NOMECAPS,UF,CODUF,REGIAO,MESORREGIA,MICRORREGI,RM,POP2004,DENSDEMO,CidEst
2,76680.43,1300201,Atalaia do Norte,ATALAIA DO NORTE,AM,13,Norte,SUDOESTE AMAZONENSE,ALTO SOLIMOES,,11023,0.14,Atalaia do Norte - AM
1,5474.51,1200336,Mâncio Lima,MANCIO LIMA,AC,12,Norte,VALE DO JURUA,CRUZEIRO DO SUL,,11883,2.17,Mâncio Lima - AC
12,8832.70,1300607,Benjamin Constant,BENJAMIN CONSTANT,AM,13,Norte,SUDOESTE AMAZONENSE,ALTO SOLIMOES,,25542,2.89,Benjamin Constant - AM
23,3236.87,1304062,Tabatinga,TABATINGA,AM,13,Norte,SUDOESTE AMAZONENSE,ALTO SOLIMOES,,42652,13.18,Tabatinga - AM
24,12363.85,1303700,Santo Antônio do Içá,SANTO ANTONIO DO ICA,AM,13,Norte,SUDOESTE AMAZONENSE,ALTO SOLIMOES,,33421,2.70,Santo Antônio do Içá - AM
21,56038.87,1302108,Japurá,JAPURA,AM,13,Norte,NORTE AMAZONENSE,JAPURA,,12942,0.23,Japurá - AM
22,109660.39,1303809,São Gabriel da Cachoeira,SAO GABRIEL DA CACHOEIRA,AM,13,Norte,NORTE AMAZONENSE,RIO NEGRO,,33170,0.30,São Gabriel da Cachoeira - AM
39,63147.21,1303601,Santa Isabel do Rio Negro,SANTA ISABEL DO RIO NEGRO,AM,13,Norte,NORTE AMAZONENSE,RIO NEGRO,,8260,0.13,Santa Isabel do Rio Negro - AM
52,123026.59,1300409,Barcelos,BARCELOS,AM,13,Norte,NORTE AMAZONENSE,RIO NEGRO,,30429,0.25,Barcelos - AM
63,14178.41,1400282,Iracema,IRACEMA,RR,14,Norte,SUL DE RORAIMA,CARACARAI,,5880,0.41,Iracema - RR
59,25679.91,1400050,Alto Alegre,ALTO ALEGRE,RR,14,Norte,NORTE DE RORAIMA,BOA VISTA,,21512,0.84,Alto Alegre - RR
56,28599.28,1400027,Amajari,AMAJARI,RR,14,Norte,NORTE DE RORAIMA,BOA VISTA,,5975,0.21,Amajari - RR
112,8062.45,1400456,Pacaraima,PACARAIMA,RR,14,Norte,NORTE DE RORAIMA,BOA VISTA,,8042,1.00,Pacaraima - RR
130,8103.55,1400704,Uiramutã,UIRAMUTA,RR,14,Norte,NORTE DE RORAIMA,NORDESTE DE RORAIMA,,6342,0.78,Uiramutã - RR
137,6996.29,1400407,Normandia,NORMANDIA,RR,14,Norte,NORTE DE RORAIMA,NORDESTE DE RORAIMA,,5448,0.78,Normandia - RR
135,8131.26,1400159,Bonfim,BONFIM,RR,14,Norte,NORTE DE RORAIMA,NORDESTE DE RORAIMA,,12162,1.50,Bonfim - RR
84,47622.39,1400209,Caracaraí,CARACARAI,RR,14,Norte,SUL DE RORAIMA,CARACARAI,,17259,0.36,Caracaraí - RR
148,12122.16,1400233,Caroebe,CAROEBE,RR,14,Norte,SUL DE RORAIMA,SUDESTE DE RORAIMA,,5844,0.48,Caroebe - RR
165,108085.66,1505304,Oriximiná,ORIXIMINA,PA,15,Norte,BAIXO AMAZONAS,OBIDOS,,52392,0.48,Oriximiná - PA
244,28145.04,1505106,Óbidos,OBIDOS,PA,15,Norte,BAIXO AMAZONAS,OBIDOS,,48705,1.73,Óbidos - PA
264,73285.62,1500503,Almeirim,ALMEIRIM,PA,15,Norte,BAIXO AMAZONAS,ALMEIRIM,,34230,0.47,Almeirim - PA
334,31107.89,1600279,Laranjal do Jari,LARANJAL DO JARI,AP,16,Norte,SUL DO AMAPA,MAZAGAO,,32919,1.06,Laranjal do Jari - AP
667,22650.20,1600501,Oiapoque,OIAPOQUE,AP,16,Norte,NORTE DO AMAPA,OIAPOQUE,,14885,0.66,Oiapoque - AP
6099,774.54,3303906,Petrópolis,PETROPOLIS,RJ,33,Sudeste,METROPOLITANA DO RIO DE JANEIRO,SERRANA,,302477,390.52,Petrópolis - RJ
6101,110.43,3300225,Areal,AREAL,RJ,33,Sudeste,CENTRO FLUMINENSE,TRES RIOS,,10765,97.48,Areal - RJ
6100,242.98,3305158,São José do Vale do Rio Preto,SAO JOSE DO VALE DO RIO PRETO,RJ,33,Sudeste,METROPOLITANA DO RIO DE JANEIRO,SERRANA,,21231,87.38,São José do Vale do Rio Preto - RJ
1280,8649.05,1600105,Amapá,AMAPA,AP,16,Norte,NORTE DO AMAPA,AMAPA,,7296,0.84,Amapá - AP
6071,14301.14,1600204,Calçoene,CALCOENE,AP,16,Norte,NORTE DO AMAPA,OIAPOQUE,,7312,0.51,Calçoene - AP
2268,2840.64,1507904,Soure,SOURE,PA,15,Norte,MARAJO,ARARI,,21270,7.49,Soure - PA
6016,9514.87,1502509,Chaves,CHAVES,PA,15,Norte,MARAJO,ARARI,,17324,1.82,Chaves - PA
5973,449.85,1507003,Santo Antônio do Tauá,SANTO ANTONIO DO TAUA,PA,15,Norte,METROPOLITANA DE BELEM,CASTANHAL,,21269,47.28,Santo Antônio do Tauá - PA
5971,242.64,1502608,Colares,COLARES,PA,15,Norte,NORDESTE PARAENSE,SALGADO,,11847,48.83,Colares - PA
5969,386.68,1508209,Vigia,VIGIA,PA,15,Norte,NORDESTE PARAENSE,SALGADO,,41637,107.68,Vigia - PA
2525,1034.76,1502400,Castanhal,CASTANHAL,PA,15,Norte,METROPOLITANA DE BELEM,CASTANHAL,,151668,146.57,Castanhal - PA
2547,634.91,1502905,Curuçá,CURUCA,PA,15,Norte,NORDESTE PARAENSE,SALGADO,,29157,45.92,Curuçá - PA
5966,451.68,1507102,São Caetano de Odivelas,SAO CAETANO DE ODIVELAS,PA,15,Norte,NORDESTE PARAENSE,SALGADO,,14888,32.96,São Caetano de Odivelas - PA
2588,784.03,1504406,Marapanim,MARAPANIM,PA,15,Norte,NORDESTE PARAENSE,SALGADO,,27171,34.66,Marapanim - PA
6072,309.36,1504109,Magalhães Barata,MAGALHAES BARATA,PA,15,Norte,NORDESTE PARAENSE,SALGADO,,7885,25.49,Magalhães Barata - PA
2698,192.73,1506203,Salinópolis,SALINOPOLIS,PA,15,Norte,NORDESTE PARAENSE,SALGADO,,39157,203.18,Salinópolis - PA
5963,756.06,1504307,Maracanã,MARACANA,PA,15,Norte,NORDESTE PARAENSE,SALGADO,,28628,37.86,Maracanã - PA
2716,622.59,1507474,São João de Pirabas,SAO JOAO DE PIRABAS,PA,15,Norte,NORDESTE PARAENSE,SALGADO,,18133,29.12,São João de Pirabas - PA
2798,276.04,1506112,Quatipuru,QUATIPURU,PA,15,Norte,NORDESTE PARAENSE,BRAGANTINA,,11825,42.84,Quatipuru - PA
2775,857.55,1508035,Tracuateua,TRACUATEUA,PA,15,Norte,NORDESTE PARAENSE,BRAGANTINA,,25857,30.15,Tracuateua - PA
2818,2091.76,1501709,Bragança,BRAGANCA,PA,15,Norte,NORDESTE PARAENSE,BRAGANTINA,,100924,48.25,Bragança - PA
5962,1080.35,1500909,Augusto Corrêa,AUGUSTO CORREA,PA,15,Norte,NORDESTE PARAENSE,BRAGANTINA,,34435,31.87,Augusto Corrêa - PA
2864,4964.00,1508308,Viseu,VISEU,PA,15,Norte,NORDESTE PARAENSE,GUAMA,,52893,10.66,Viseu - PA
3024,1223.45,2102903,Carutapera,CARUTAPERA,MA,21,Nordeste,OESTE MARANHENSE,GURUPI,,20030,16.37,Carutapera - MA
3066,464.63,2106201,Luís Domingues,LUIS DOMINGUES,MA,21,Nordeste,OESTE MARANHENSE,GURUPI,,5708,12.29,Luís Domingues - MA
3105,1627.60,2102606,Cândido Mendes,CANDIDO MENDES,MA,21,Nordeste,OESTE MARANHENSE,GURUPI,,19405,11.92,Cândido Mendes - MA
5956,756.53,2104305,Godofredo Viana,GODOFREDO VIANA,MA,21,Nordeste,OESTE MARANHENSE,GURUPI,,6801,8.99,Godofredo Viana - MA
3282,790.33,2101301,Bacuri,BACURI,MA,21,Nordeste,NORTE MARANHENSE,LITORAL OCIDENTAL MARANHENSE,,16429,20.79,Bacuri - MA
5955,2601.69,2112407,Turiaçu,TURIACU,MA,21,Nordeste,OESTE MARANHENSE,GURUPI,,34279,13.18,Turiaçu - MA
3331,329.61,2100832,Apicum-Açu,APICUM ACU,MA,21,Nordeste,NORTE MARANHENSE,LITORAL OCIDENTAL MARANHENSE,,12471,37.84,Apicum-Açu - MA
3325,1233.00,2111789,Serrano do Maranhão,SERRANO DO MARANHAO,MA,21,Nordeste,NORTE MARANHENSE,LITORAL OCIDENTAL MARANHENSE,,5547,4.50,Serrano do Maranhão - MA
5931,925.08,2100709,Anajatuba,ANAJATUBA,MA,21,Nordeste,NORTE MARANHENSE,BAIXADA MARANHENSE,,22504,24.33,Anajatuba - MA
5920,563.44,2111300,São Luís,SAO LUIS,MA,21,Nordeste,NORTE MARANHENSE,AGLOMERACAO URBANA DE SAO LUIS,SAO LUIS,959124,1702.28,São Luís - MA
