"ID"	"CEP"	"Faturamento 2017"	"Gestor da Empresa"	"GEOCODE.lon"	"GEOCODE.lat"	"GEOCODE.type"	"GEOCODE.loctype"	"GEOCODE.address"	"GEOCODE.north"	"GEOCODE.south"	"GEOCODE.east"	"GEOCODE.west"	"GEOCODE.postal_code"	"GEOCODE.administrative_area_level_2"	"GEOCODE.administrative_area_level_1"	"GEOCODE.country"	"GEOCODE.political"	"GEOCODE.route"	"CIDADEESTADO"
 16	"06345-030"	11650	"GUSTAVO FUNAYAMA HOTTA"	-46.84211	-23.57192	postal_code	approximate	carapicuíba - state of são paulo, 06345-030, brazil	-23.56651	-23.57851	-46.83982	-46.84345	06345-030	Carapicuíba	SP	Brazil	NA	NA	"Carapicuíba - SP"
 25	"25011-330"	 3316	"RAFAEL GUSTAVO FURLAN"	-43.31431	-22.79717	postal_code	approximate	centro, duque de caxias - rj, 25011-330, brazil	-22.79533	-22.79850	-43.31136	-43.31619	25011-330	Duque de Caxias	RJ	Brazil	Centro	NA	"Duque de Caxias - RJ"
 26	"25020-190"	32678	"RICARDO SQUASSINA LEE"	-43.31256	-22.78356	postal_code	approximate	vila meriti, duque de caxias - rj, 25020-190, brazil	-22.77865	-22.78818	-43.31015	-43.31377	25020-190	Duque de Caxias	RJ	Brazil	Vila Meriti	NA	"Duque de Caxias - RJ"
 48	"03975-100"	24612	"GUSTAVO FUNAYAMA HOTTA"	-46.49166	-23.61048	postal_code	approximate	jardim sapopemba, são paulo - state of são paulo, 03975-100, brazil	-23.60749	-23.61350	-46.48979	-46.49340	03975-100	São Paulo	SP	Brazil	Jardim Sapopemba	NA	"São Paulo - SP"
 57	"03502-010"	40264	"RAFAEL GUSTAVO FURLAN"	-46.54204	-23.53669	postal_code	approximate	vila aricanduva, são paulo - state of são paulo, 03502-010, brazil	-23.53415	-23.53868	-46.53432	-46.54636	03502-010	São Paulo	SP	Brazil	Vila Aricanduva	NA	"São Paulo - SP"
 58	"08340-510"	47236	"RICARDO SQUASSINA LEE"	-46.44890	-23.61472	postal_code	approximate	vila bela, são paulo - state of são paulo, 08340-510, brazil	-23.61226	-23.62016	-46.44651	-46.45132	08340-510	São Paulo	SP	Brazil	Vila Bela	NA	"São Paulo - SP"
 80	"04849-501"	42181	"GUSTAVO FUNAYAMA HOTTA"	-46.65984	-23.74266	postal_code	approximate	jardim gaivotas, são paulo - state of são paulo, 04849-501, brazil	-23.74113	-23.74533	-46.65484	-46.66691	04849-501	São Paulo	SP	Brazil	Jardim Gaivotas	NA	"São Paulo - SP"
 89	"05212-140"	25369	"RAFAEL GUSTAVO FURLAN"	-46.70616	-23.59503	postal_code	approximate	são paulo - state of são paulo, brazil	-23.59240	-23.59732	-46.70365	-46.70949	05212	São Paulo	SP	Brazil	NA	NA	"São Paulo - SP"
 90	"05210-020"	38076	"RICARDO SQUASSINA LEE"	-46.66329	-23.87516	postal_code	approximate	são paulo - state of são paulo, brazil	-23.85319	-23.90290	-46.64858	-46.68837	05210	São Paulo	SP	Brazil	NA	NA	"São Paulo - SP"
112	"06657-290"	10727	"GUSTAVO FUNAYAMA HOTTA"	-46.93165	-23.55823	postal_code	approximate	jardim rosemary, itapevi - sp, 06657-290, brazil	-23.55708	-23.56067	-46.92939	-46.93209	06657-290	Itapevi	SP	Brazil	Jardim Rosemary	NA	"Itapevi - SP"
121	"07180-190"	16861	"RAFAEL GUSTAVO FURLAN"	-46.47752	-23.45156	postal_code	approximate	guarulhos - state of são paulo, 07180-190, brazil	-23.44988	-23.45422	-46.47536	-46.48258	07180-190	Guarulhos	SP	Brazil	NA	NA	"Guarulhos - SP"
122	"07261-480"	16422	"RICARDO SQUASSINA LEE"	-46.40029	-23.45374	postal_code	approximate	pimentas, guarulhos - state of são paulo, 07261-480, brazil	-23.45239	-23.45509	-46.39894	-46.40163	07261-480	Guarulhos	SP	Brazil	Pimentas	NA	"Guarulhos - SP"
144	"94195-280"	43327	"GUSTAVO FUNAYAMA HOTTA"	-50.95034	-29.94808	postal_code	approximate	r. côrte real - morada gaúcha, gravataí - rs, 94195-280, brazil	-29.94631	-29.94901	-50.94716	-50.95107	94195-280	Gravataí	RS	Brazil	Morada Gaúcha	Rua Côrte Real	"Gravataí - RS"
153	"91140-170"	13788	"RAFAEL GUSTAVO FURLAN"	-51.11239	-29.98530	postal_code	approximate	sarandi, porto alegre - rs, 91140-170, brazil	-29.98312	-29.98725	-51.11081	-51.11351	91140-170	Porto Alegre	RS	Brazil	Sarandi	NA	"Porto Alegre - RS"
154	"90880-030"	28848	"RICARDO SQUASSINA LEE"	-51.20792	-30.06241	postal_code	approximate	medianeira, porto alegre - rs, 90880-030, brazil	-30.06112	-30.06382	-51.20561	-51.20953	90880-030	Porto Alegre	RS	Brazil	Medianeira	NA	"Porto Alegre - RS"
176	"08050-120"	17742	"GUSTAVO FUNAYAMA HOTTA"	-46.45610	-23.51113	postal_code	approximate	jardim santana, são paulo - sp, 08050-120, brazil	-23.50896	-23.51371	-46.45478	-46.45748	08050-120	São Paulo	SP	Brazil	Jardim Santana	NA	"São Paulo - SP"
185	"08072-120"	33264	"RAFAEL GUSTAVO FURLAN"	-46.45774	-23.48486	postal_code	approximate	vila nova uniao, são paulo - sp, 08072-120, brazil	-23.48386	-23.48656	-46.45613	-46.45974	08072-120	São Paulo	SP	Brazil	Vila Nova Uniao	NA	"São Paulo - SP"
